,title,subtitle,link
0,MADE HIS MARC,Guehi OUT of Palace squad with team-mates stunned by £20m move to Man City,https://www.thesun.co.uk/sport/37932293/marc-guehi-out-crystal-palace-squad-man-city-transfer/
1,DON'T CARE FOR IT,Carrick hits back at Roy Keane after Man Utd legend's swipe at his wife,https://www.thesun.co.uk/sport/37933093/michael-carrick-hits-back-roy-keane/
2,KOS-EFFECTIVE,Arsenal tracking 'Serbian Pedri' but face transfer battle with Bayern Munich,https://www.thesun.co.uk/sport/37929440/arsenal-serbian-pedri-bayern-transfer-battle/
3,MAT LEAVE,Juventus 'mulling over £35m Mateta transfer' with Glasner also quitting Palace,https://www.thesun.co.uk/sport/37933170/juventus-mateta-transfer-glasner-guehi-quitting-crystal-palace/
4,STUNNER,"Win a £635k 5-Bedroom luxury home or £500,000 cash from just £1.79 with our code",https://www.thesun.co.uk/sport/35120440/win-house-7dp/
5,NOT SO FAB,Fabian Schar battling to ever play for Newcastle again after injury blow,https://www.thesun.co.uk/sport/37930269/fabian-schar-newcastle-injury-eddie-howe/
6,RICE SCREAM,Declan Rice settles tunnel shouting bust-up with Arsenal assistant manager,https://www.thesun.co.uk/sport/37930860/declan-rice-albert-stuivenberg-row-arsenal-chelsea/
7,BLUE BEAUTY,Chelsea set for instant windfall thanks to genius clause in Guehi's contract,https://www.thesun.co.uk/sport/37932755/chelsea-transfer-clause-marc-guehi-crystal-palace-man-city/
8,WARD OFF,Former England star James Ward-Prowse thrown Premier League transfer lifeline,https://www.thesun.co.uk/sport/37931655/james-ward-prowse-burnley-transfer-west-ham/
9,DERBY DELIGHT,Man Utd vs Man City odds: Get either team at 40/1 to win with talkSPORT BET,https://www.thesun.co.uk/sport/37894753/man-utd-vs-man-city-best-odds-boost-talksportbet/
10,CAPTAIN'S ORDERS,Fernandes decides on future as Man Utd aim to sign multiple midfielders,https://www.thesun.co.uk/sport/37926703/bruno-fernandes-man-utd-future-decision-transfer/
11,READY FOR NIS,Van Nistelrooy lands new job after missing out on Man Utd interim role,https://www.thesun.co.uk/sport/37932672/ruud-van-nistelrooy-holland-assistant-job-man-utd-interim/
12,BACK FOR MAR,Maresca 'shortlisted for immediate return' just 15 days after Chelsea sacking,https://www.thesun.co.uk/sport/37930820/enzo-maresca-shortlisted-management-return-real-madrid-chelsea/
13,LAST ORDERS,"Prem one-game wonder, 50, has wine bar licence revoked after hosting lock-ins",https://www.thesun.co.uk/sport/37929047/mohammed-camara-wine-bar-revoked-derby-premier-league/
14,GRAY AREA,Bamford reveals secret role in Tottenham star Gray's younger brother's transfer,https://www.thesun.co.uk/sport/37932316/patrick-bamford-archie-gray-brother-league-one/
15,IN THE RED,Man Utd face £50m black hole in worrying news for fans… and new boss Carrick,https://www.thesun.co.uk/sport/37923630/man-utd-financial-black-hole-fans/
16,CLIFFE EDGE,Desperate Man Utd owner Ratcliffe slashes asking price for French giants Nice,https://www.thesun.co.uk/sport/37929402/man-utd-sir-jim-ratcliffe-slashes-asking-price-nice/
17,CASH AND HARRY,Maguire 'in three-way Serie A transfer race' with Man Utd contract expiring,https://www.thesun.co.uk/sport/37928234/harry-maguire-transfer-race-man-utd-napoli-inter-fiorentina/
18,BLUE BEAUTY,Poyet reveals why Spurs fans will love Gallagher… despite his Chelsea past,https://www.thesun.co.uk/sport/37930664/tottenham-gus-poyet-fans-conor-gallagher-chelsea/
19,HARE STYLIST,Sheff Utd star Callum O'Hare gives Blades free haircuts to give fans new look,https://www.thesun.co.uk/sport/37898541/callum-ohare-sheffield-united-barber/
20,BACK CON THE SCENE,'Life is crazy' – Prem welcomes back one of England's most glam Wags,https://www.thesun.co.uk/sport/37916340/conor-gallagher-wag-aine-may-kennedy-tottenham/
21,PRIVATE MATTER,EFL club face probe after fielding ace banned for 'violating privates',https://www.thesun.co.uk/sport/37926173/fa-swindon-efl-league-two/
22,NUN THE WISER,Nuno Espirito Santo 'bans former England star from 11-v-11 West Ham sessions',https://www.thesun.co.uk/sport/37929525/james-ward-prowse-west-ham-training-ban-nuno/
23,TOWN & OUT,EFL charge Swindon with fielding two ineligible players and could be thrown out,https://www.thesun.co.uk/sport/37929924/swindon-town-charged-fielding-two-ineligible-players-efl-trophy/
24,'DON'T BE FOOLED',Rooney reveals what Carrick is really like as he prepares for first game,https://www.thesun.co.uk/sport/37928213/wayne-rooney-michael-carrick-verdict-man-utd-city/
25,BUCK STOPS HERE,Major blow for Tartan Army as Buckfast banned from World Cup in the USA,https://www.thesun.co.uk/sport/37918206/buckfast-banned-world-cup-america/
26,SOLD TRAFFORD?,Forgotten Man Utd star set for talks with Carrick over potential transfer,https://www.thesun.co.uk/football/37906198/man-utd-transfer-malacia-carrick/
27,BLUE IT,Chelsea star’s loan terminated as deal completed for him to join Prem rivals,https://www.thesun.co.uk/sport/37919512/chelsea-facundo-buonanotte-leeds-transfer-news/
28,LIV & LET LEAVE,Liverpool title winner drops huge hint he could leave after nine years,https://www.thesun.co.uk/sport/37925920/liverpool-andy-robertson-contract/
29,BRU-GO,Man Utd stars fear Bruno Fernandes will quit in transfer exit amid turmoil,https://www.thesun.co.uk/sport/37873904/man-utd-stars-fear-bruno-fernandes-quit-old-trafford/
30,GUNNER BE THE BEST,Arsenal fans spot Gabriel's 'vision board' with powerful message,https://www.thesun.co.uk/sport/37916190/gabriel-vision-board-arsenal-arteta/
31,GYOK N ROLL,Saliba convinced Gyokeres will start firing after ending Arsenal goal drought,https://www.thesun.co.uk/sport/37918625/william-saliba-viktor-gyokeres-arsenal-goals/
32,MANAGER'S OFFICE,Liam Rosenior dubbed 'the new David Brent' as his cringe quote re-emerges,https://www.thesun.co.uk/sport/37919299/liam-rosenior-david-brent-quotes-chelsea/
33,BLUES GO VIRAL,Virus rips through Chelsea squad with club desperately trying to contain it,https://www.thesun.co.uk/sport/37921822/chelsea-news-team-virus-liam-rosenior/
34,GOT SOME GALL,Spurs sign Conor Gallagher in permanent deal as fans say 'make him captain',https://www.thesun.co.uk/sport/37911166/tottenham-sign-conor-gallagher-captain/
